,EmployeeID,NIK,orighiredate_key,department_name,job_title,BUSINESS_UNIT,province,city,district,gender,birth_datetime,birthday,age,regist_code,join_year,birth_year,generation
0,1318,3308040301540010,1989-08-28,Executive,CEO,HEADOFFICE,JAWA TENGAH,KAB. MAGELANG,Salam,Male,1954-01-03,03 January 1954,69,10,1989,1954,Boomers
1,1319,3524174301570009,1989-08-28,Executive,VP Stores,HEADOFFICE,JAWA TIMUR,KAB. LAMONGAN,Sukodadi,Female,1957-01-03,03 January 1957,66,9,1989,1957,Boomers
2,1320,7603044201550014,1989-08-28,Executive,Legal Counsel,HEADOFFICE,SULAWESI BARAT,KAB. MAMASA,Pana,Female,1955-01-02,02 January 1955,68,14,1989,1955,Boomers
3,1321,1571030201590009,1989-08-28,Executive,VP Human Resources,HEADOFFICE,JAMBI,KOTA JAMBI,Jambi Timur,Male,1959-01-02,02 January 1959,64,9,1989,1959,Boomers
4,1322,3528130901580018,1989-08-31,Executive,VP Finance,HEADOFFICE,JAWA TIMUR,KAB. PAMEKASAN,Pasean,Male,1958-01-09,09 January 1958,65,18,1989,1958,Boomers
5,1323,5204090901620010,1989-08-31,Executive,"Exec Assistant, VP Stores",HEADOFFICE,NUSA TENGGARA BARAT,KAB. SUMBAWA,Moyo Hilir,Male,1962-01-09,09 January 1962,61,10,1989,1962,Boomers
6,1325,9201465301640014,1989-09-02,Executive,"Exec Assistant, Legal Counsel",HEADOFFICE,PAPUA BARAT,KAB. SORONG,Sunook,Female,1964-01-13,13 January 1964,59,14,1989,1964,Boomers
7,1328,6402125701560016,1989-09-05,Executive,CHief Information Officer,HEADOFFICE,KALIMANTAN TIMUR,KAB. KUTAI KARTANEGARA,Tabang,Female,1956-01-17,17 January 1956,67,16,1989,1956,Boomers
8,1329,5204066301670007,1989-09-08,Store Management,Store Manager,STORES,NUSA TENGGARA BARAT,KAB. SUMBAWA,Utan,Female,1967-01-23,23 January 1967,56,7,1989,1967,Gen. X
9,1330,8101066501670017,1989-09-09,Meats,Meats Manager,STORES,MALUKU,KAB. MALUKU TENGAH,Seram Utara,Female,1967-01-25,25 January 1967,56,17,1989,1967,Gen. X
10,1331,7322146801650005,1989-09-10,Store Management,Store Manager,STORES,SULAWESI SELATAN,KAB. LUWU UTARA,Baebunta Selatan,Female,1965-01-28,28 January 1965,58,5,1989,1965,Gen. X
11,1332,7108054502550014,1989-09-15,Executive,"Exec Assistant, Human Resources",HEADOFFICE,SULAWESI UTARA,KAB. BOLAANG MONGONDOWUTARA,Kaidipang,Female,1955-02-05,05 February 1955,68,14,1989,1955,Boomers
12,1334,8107080602610006,1989-09-15,Executive,"Exec Assistant, Finance",HEADOFFICE,MALUKU,KAB. KEPULAUAN ARU,Aru Tengah Selatan,Male,1961-02-06,06 February 1961,62,6,1989,1961,Boomers
