EmployeeID,NIK,orighiredate_key,department_name,job_title,BUSINESS_UNIT
1318,3308040301540010,8/28/1989,Executive,CEO,HEADOFFICE
1319,3524174301570009,8/28/1989,Executive,VP Stores,HEADOFFICE
1320,7603044201550014,8/28/1989,Executive,Legal Counsel,HEADOFFICE
1321,1571030201590009,8/28/1989,Executive,VP Human Resources,HEADOFFICE
1322,3528130901580018,8/31/1989,Executive,VP Finance,HEADOFFICE
1323,5204090901620010,8/31/1989,Executive,"Exec Assistant, VP Stores",HEADOFFICE
1325,9201465301640014,9/2/1989,Executive,"Exec Assistant, Legal Counsel",HEADOFFICE
1328,6402125701560016,9/5/1989,Executive,CHief Information Officer,HEADOFFICE
1329,5204066301670007,9/8/1989,Store Management,Store Manager,STORES
1330,8101066501670017,9/9/1989,Meats,Meats Manager,STORES
1331,7322146801650005,9/10/1989,Store Management,Store Manager,STORES
1332,7108054502550014,9/15/1989,Executive,"Exec Assistant, Human Resources",HEADOFFICE
1334,8107080602610006,9/15/1989,Executive,"Exec Assistant, Finance",HEADOFFICE
1335,1703064702620006,9/16/1989,Recruitment,"Director, Recruitment",HEADOFFICE
1703,1906065301510004,9/23/1990,Meats,Meats Manager,STORES
1705,1204061501510019,9/24/1990,Meats,Meats Manager,STORES
1706,3511232001510018,9/27/1990,Meats,Meat Cutter,STORES
1710,7326152401510019,9/29/1990,Customer Service,Customer Service Manager,STORES
1713,3505026701510017,10/1/1990,Produce,Produce Manager,STORES
1715,3603297101510019,10/3/1990,Produce,Produce Manager,STORES
1716,3202193101510015,10/3/1990,Meats,Meat Cutter,STORES
1717,1116044202510003,10/4/1990,Meats,Meat Cutter,STORES
1718,9106144802510016,10/7/1990,Meats,Meat Cutter,STORES
1719,7601041102510009,10/9/1990,Bakery,Bakery Manager,STORES
1720,6403025702510001,10/12/1990,Meats,Meat Cutter,STORES
1721,7102082302510008,10/15/1990,Meats,Meat Cutter,STORES
1726,6407150603510011,10/21/1990,Dairy,Dairy Person,STORES
1728,9114414603510009,10/21/1990,Processed Foods,Processed Foods Manager,STORES
1732,1507111103510016,10/24/1990,Meats,Meats Manager,STORES
1733,3604151303510016,10/25/1990,Meats,Meat Cutter,STORES
1734,7318015303510010,10/25/1990,Customer Service,Customer Service Manager,STORES
1735,7403341503510005,10/26/1990,Customer Service,Customer Service Manager,STORES
1736,1704012303510009,10/30/1990,Store Management,Store Manager,STORES
1739,5307102903510013,11/2/1990,Meats,Meat Cutter,STORES
1740,3526163003510007,11/3/1990,Bakery,Bakery Manager,STORES
1741,7106070304510012,11/5/1990,Meats,Meats Manager,STORES
1743,3171034504510010,11/6/1990,Meats,Meat Cutter,STORES
1744,3208014804510019,11/7/1990,Dairy,Dairy Person,STORES
1745,5207071104510015,11/9/1990,Produce,Produce Manager,STORES
1750,6106016004510001,11/14/1990,Meats,Meat Cutter,STORES
1754,3603050205510001,11/20/1990,Meats,Meat Cutter,STORES
1755,6202160405510019,11/21/1990,Meats,Meat Cutter,STORES
1757,7603074505510015,11/22/1990,Meats,Meat Cutter,STORES
1758,6408035205510010,11/25/1990,Meats,Meats Manager,STORES
1762,7108035805510019,11/28/1990,Meats,Meat Cutter,STORES
1763,3317022105510017,11/30/1990,Produce,Produce Manager,STORES
1767,9201040206510016,12/6/1990,Bakery,Bakery Manager,STORES
1768,1212100306510006,12/7/1990,Store Management,Store Manager,STORES
1769,7109070406510014,12/7/1990,Processed Foods,Processed Foods Manager,STORES
1770,7471030506510017,12/8/1990,Dairy,Dairy Person,STORES
1771,1206150606510014,12/8/1990,Meats,Meats Manager,STORES
